time_window_sec,amm_oracle,oracle_count,trade_count,oracle_trade_ratio,pool,pool_oracle_p99,pool_trade_p10
2567540,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2567545,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2567568,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2567569,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2567571,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2567574,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2567575,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2567576,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2567578,BisonFi,20,0,20.0,BisonFi,10.0,0.0
2567581,BisonFi,14,0,14.0,BisonFi,10.0,0.0
2568019,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2568050,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2568120,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2568166,BisonFi,16,0,16.0,BisonFi,10.0,0.0
2568185,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2568192,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2568194,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2568232,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2568260,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2568330,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2568418,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2568558,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2568575,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2568578,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2568609,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2568653,BisonFi,19,0,19.0,BisonFi,10.0,0.0
2568658,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2568776,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2568777,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2568779,BisonFi,14,0,14.0,BisonFi,10.0,0.0
2568782,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2568789,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2568807,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2568813,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2568880,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2569156,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2569243,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2569272,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2569297,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2569324,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2569442,BisonFi,15,0,15.0,BisonFi,10.0,0.0
2569446,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2569471,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2569531,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2571053,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2571132,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2571145,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2571413,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2571584,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2571596,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2572039,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2572112,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2572137,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2572233,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2572239,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2572263,BisonFi,15,0,15.0,BisonFi,10.0,0.0
2572270,BisonFi,16,0,16.0,BisonFi,10.0,0.0
2572681,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2572762,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2573344,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2573604,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2573732,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2573781,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2573862,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2574004,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2574112,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2574826,BisonFi,14,0,14.0,BisonFi,10.0,0.0
2575114,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2575360,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2575374,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2575402,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2575471,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2575718,BisonFi,12,0,12.0,BisonFi,10.0,0.0
