amm_trade,attacker_signer,back_running,fat_sandwich,front_running,sandwich,validator,sandwich_complete,cost_sol,profit_sol,net_profit_sol,confidence
BisonFi,AAAAhimgGTLkft3X2J8F7U9DAaRhxHGzdedhFtAGeTsR,0,1,0,0,U82KEYMnuCiZSQbvuCJTZ652HX9NQ63uNSnxyucshrk,0,0.0,0.0,0.0,medium
BisonFi,AE861PyrYJXm2TuxiMc8Ecwo4YYgAHfcYum3GWpSRFe3,0,63,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,31,0.031,0.31,0.279,high
BisonFi,AE8635syc7jEWkmRfo97ypBd4TwhuZSyvPTsKF3hAFgb,0,4,0,0,Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,2,0.002,0.02,0.018000000000000002,medium
BisonFi,AEB9dXBoxkrapNd59Kg29JefMMf3M1WLcNA12XjKSf4R,0,10,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,5,0.005,0.05,0.045000000000000005,medium
BisonFi,AECTMxLqHaSL8QznVZSWp3ozuKjzKfRPTy65ZP2jdvvr,0,1,0,0,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,0,0.0,0.0,0.0,high
BisonFi,AG2UQKHngd3p6pTLJjS5Bk1eRVAEJAvNA89f6VmJrQUk,0,24,0,0,CPcDFHCAKkr5Kp9T5aQWJhXV5J6iFj141NMQ87L6poPL,12,0.012,0.12,0.108,high
BisonFi,AMPjMXfmSFgL9TzmybUf96ApU3ex5D5DY7sbr7PXunHL,0,1,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,0,0.0,0.0,0.0,high
BisonFi,ARBx73zSiEhM1fDhX2vzQgWLqNiGXuhDZUuZVEuBwJ1m,0,4,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,2,0.002,0.02,0.018000000000000002,medium
BisonFi,ARBx92tyV8htTbEWCRH22tgje5vUeCkZm9p4y6TjJCjN,0,2,0,0,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,1,0.001,0.01,0.009000000000000001,medium
BisonFi,ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,0,53,0,0,HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,26,0.026000000000000002,0.26,0.234,high
