signer,aggregator_likelihood,unique_pools,pool_list,total_trades,trades_per_hour,mev_score,top_pools
2FpCgpxqitrybpy4gUnZX7LAsR7Qp4NBndz3XCLsbdMN,1.0,2,"GoonFi, ZeroFi",2,20.0,0.4,"GoonFi(1), ZeroFi(1)"
BprbQotkJgcH5NKbcJZbMzcpwscu475ftEf6FNnJYsaP,1.0,2,"GoonFi, SolFiV2",2,20.0,0.3,"GoonFi(1), SolFiV2(1)"
8NyN82bAWSa1gVMK9rQiiHjmDXebkBnkVRc8TuWf6NXM,1.0,2,"HumidiFi, SolFiV2",2,20.0,0.8,"HumidiFi(1), SolFiV2(1)"
A8wfKKyqwoNsQH1qQR6EeWKFUxWRHJ6oMkSdisL57HvW,1.0,2,"HumidiFi, TesseraV",2,20.0,0.8,"HumidiFi(1), TesseraV(1)"
AhWSyEPyKBZAYB1JxUwaoGaiBdEKCuHnvNTzV3Qxi2ev,1.0,2,"HumidiFi, GoonFi",2,20.0,0.5,"HumidiFi(1), GoonFi(1)"
A11eXkRPbjFwej5Rb95SNJsQXu5VC9jKYfeLW8SELTz,1.0,2,"GoonFi, ZeroFi",3,0.35677633552779414,0.5,"GoonFi(2), ZeroFi(1)"
AL9QYAN3n7qFub1hSFrLJUNyXurKK3SnJ1LhanShT3y1,1.0,2,"HumidiFi, ObricV2",5,40.74564530915758,0.42,"ObricV2(4), HumidiFi(1)"
44xtxj5ZSiAoakKvhE8ZCrgo67eLBzJN6aLcJahUeGtC,1.0,2,"SolFiV2, TesseraV",3,30.0,0.3,"SolFiV2(2), TesseraV(1)"
HwscSKbGpxsTUBS8naUFPwARdBTS1rR6khDoY9Te719F,1.0,2,"HumidiFi, SolFiV2",2,20.0,0.5,"HumidiFi(1), SolFiV2(1)"
5jhadRkFWh9g1yXuJ1Dxxq9BXMf62aBssZ8LiF3e9i9U,1.0,2,"GoonFi, HumidiFi",3,30.0,0.5,"HumidiFi(2), GoonFi(1)"
GiQQYn7JqD7MRozXkThWsJym2iAsCNunKWVHHUuffih,1.0,2,"SolFiV2, GoonFi",2,0.7746851819294353,0.44999999999999996,"SolFiV2(1), GoonFi(1)"
5M1JLgE8T4zCCdT4gFCHuNFzHMrSoYnRNCUiAm8Q7UmX,1.0,2,"HumidiFi, GoonFi",2,20.0,0.5,"HumidiFi(1), GoonFi(1)"
cFmG58u2726q1Gw648cqp3f1pYcWJeL8a6uTjBNFc3G,1.0,2,"SolFiV2, HumidiFi",2,20.0,0.5,"SolFiV2(1), HumidiFi(1)"
DSoMogTuFh8epJRxt8xJ7UdxAUKUCH7bvqhzGgCMqdsc,1.0,2,"SolFiV2, GoonFi",2,20.0,0.3,"SolFiV2(1), GoonFi(1)"
2YgmxAVVoKTFq7UJ1q64NSAWVut4XWhYQnCsVXhb7qMP,1.0,2,"GoonFi, ZeroFi",4,1.4882373440916357,0.425,"ZeroFi(3), GoonFi(1)"
3kynay9Z4L3aVetuMxZBvSZv1rsesurzLTSiXdqpk2KN,1.0,2,"HumidiFi, SolFiV2",2,20.0,0.5,"HumidiFi(1), SolFiV2(1)"
8SHNRogS3GRtuZRQF7hSNCg9iMLNeRBF5FKaG47HWWax,1.0,2,"SolFiV2, ZeroFi",2,0.22367044694574278,0.44999999999999996,"SolFiV2(1), ZeroFi(1)"
